date,ticker,comnam,cusip,ret
198801,"AAPL","APPLE COMPUTER INC","03783310",-.011905
198802,"AAPL","APPLE COMPUTER INC","03783310",.038072
198803,"AAPL","APPLE COMPUTER INC","03783310",-.069767
198804,"AAPL","APPLE COMPUTER INC","03783310",.025
198805,"AAPL","APPLE COMPUTER INC","03783310",.014146
198806,"AAPL","APPLE COMPUTER INC","03783310",.114458
198807,"AAPL","APPLE COMPUTER INC","03783310",-.040541
198808,"AAPL","APPLE COMPUTER INC","03783310",-.099606
198809,"AAPL","APPLE COMPUTER INC","03783310",.084639
198810,"AAPL","APPLE COMPUTER INC","03783310",-.106936
198811,"AAPL","APPLE COMPUTER INC","03783310",-.023301
198812,"AAPL","APPLE COMPUTER INC","03783310",.069767
198901,"AAPL","APPLE COMPUTER INC","03783310",-.062112
198902,"AAPL","APPLE COMPUTER INC","03783310",-.037086
198903,"AAPL","APPLE COMPUTER INC","03783310",-.017241
198904,"AAPL","APPLE COMPUTER INC","03783310",.094737
198905,"AAPL","APPLE COMPUTER INC","03783310",.226923
198906,"AAPL","APPLE COMPUTER INC","03783310",-.136126
198907,"AAPL","APPLE COMPUTER INC","03783310",-.036364
198908,"AAPL","APPLE COMPUTER INC","03783310",.122013
198909,"AAPL","APPLE COMPUTER INC","03783310",0
198910,"AAPL","APPLE COMPUTER INC","03783310",.044944
198911,"AAPL","APPLE COMPUTER INC","03783310",-.046022
198912,"AAPL","APPLE COMPUTER INC","03783310",-.20339
199001,"AAPL","APPLE COMPUTER INC","03783310",-.035461
199002,"AAPL","APPLE COMPUTER INC","03783310",.003235
199003,"AAPL","APPLE COMPUTER INC","03783310",.183824
199004,"AAPL","APPLE COMPUTER INC","03783310",-.021739
199005,"AAPL","APPLE COMPUTER INC","03783310",.050413
199006,"AAPL","APPLE COMPUTER INC","03783310",.084848
199007,"AAPL","APPLE COMPUTER INC","03783310",-.061453
199008,"AAPL","APPLE COMPUTER INC","03783310",-.116429
199009,"AAPL","APPLE COMPUTER INC","03783310",-.216216
199010,"AAPL","APPLE COMPUTER INC","03783310",.060345
199011,"AAPL","APPLE COMPUTER INC","03783310",.199024
199012,"AAPL","APPLE COMPUTER INC","03783310",.170068
199101,"AAPL","APPLE COMPUTER INC","03783310",.290698
199102,"AAPL","APPLE COMPUTER INC","03783310",.033694
199103,"AAPL","APPLE COMPUTER INC","03783310",.187773
199104,"AAPL","APPLE COMPUTER INC","03783310",-.191176
199105,"AAPL","APPLE COMPUTER INC","03783310",-.143273
199106,"AAPL","APPLE COMPUTER INC","03783310",-.117021
199107,"AAPL","APPLE COMPUTER INC","03783310",.114458
199108,"AAPL","APPLE COMPUTER INC","03783310",.148541
199109,"AAPL","APPLE COMPUTER INC","03783310",-.066038
