date,ret
197611,15.4412
197612,14.6497
197701,
197702,0
197703,7.7778
197704,-1.0309
197705,6.25
197706,0
197707,0
197708,1.9608
197709,4.3269
197710,4.1475
197711,8.8496
197712,15.0407
197801,-3.1802
197802,0.365
197803,
197804,10.5455
197805,15.1316
197806,-2.8571
197807,0
197808,4.4118
197809,0
197810,6.1972
197811,-9.2838
197812,-8.1871
197901,1.9108
197902,1.875
197903,14.7239
197904,3.7433
197905,
197906,19.8454
197907,35.4839
197908,12.6984
197909,-2.8169
197910,-17.3913
197911,12.2807
197912,3.125
198001,4.5455
198002,0
198003,-21.7391
198004,7.4074
198005,13.7931
198006,-6.0606
198007,12.9032
198008,10
198009,1.9481
198010,7.6433
198011,4.7337
198012,-2.2599
198101,1.7341
198102,11.9318
198103,-0.5076
198104,7.1429
198105,0.9524
198106,-2.3585
198107,-4.8309
198108,0
198109,-4.5685
198110,9.5745
198111,14.5631
198112,-4.2373
198201,-8.4071
198202,0.9662
198203,-6.6986
198204,6.1538
198205,-0.9662
198206,-1.4634
198207,-4.4554
198208,2.0725
198209,13.198
198210,11.6592
198211,12.0482
198212,12.1864
198301,-1.278
198302,8.7379
198303,16.0714
198304,0.7692
198305,1.2723
198306,-7.5377
198307,4.0761
198308,7.5718
198309,20.8738
198310,5.2209
198311,4.1985
198312,-2.9304
198401,0.9434
198402,-3.3645
198403,-3.0948
198404,0.7984
198405,2.9703
198406,-1.9231
198407,-1.7647
198408,3.992
198409,1.1516
198410,-0.3795
198411,-1.5238
198412,-0.3868
198501,9.5146
198502,6.7376
198503,21.7608
198504,0.955
198505,0.5405
198506,15.5914
198507,-1.8605
198508,-3.3175
198509,1.4706
198510,26.57
198511,0.1908
198512,-5.9048
198601,-8.7045
198602,22.3947
198603,13.0435
198604,-6.7308
198605,-1.7182
198606,4.021
198607,-5.042
198608,2.6549
198609,-9.4828
198610,9.5238
198611,-4.6957
198612,2.9197
198701,9.9291
198702,8.3871
198703,4.7619
198704,-3.9773
198705,0.8876
198706,2.6393
198707,13.1429
198708,0.7576
